,Techs,Rank index,Rank_freq
0,OSTARA,1,0.0
1,OSTARA,2,0.0
2,OSTARA,3,0.0
3,OSTARA,4,99.55555555555556
4,OSTARA,5,0.4444444444444444
5,OSTARA,6,0.0
6,MULTIFORM,1,0.2222222222222222
7,MULTIFORM,2,99.77777777777777
8,MULTIFORM,3,0.0
9,MULTIFORM,4,0.0
10,MULTIFORM,5,0.0
11,MULTIFORM,6,0.0
12,NURESYS,1,99.77777777777777
13,NURESYS,2,0.2222222222222222
14,NURESYS,3,0.0
15,NURESYS,4,0.0
16,NURESYS,5,0.0
17,NURESYS,6,0.0
18,CRYSTALACTOR,1,0.0
19,CRYSTALACTOR,2,0.0
20,CRYSTALACTOR,3,99.55555555555556
21,CRYSTALACTOR,4,0.4444444444444444
22,CRYSTALACTOR,5,0.0
23,CRYSTALACTOR,6,0.0
24,PROC,1,0.0
25,PROC,2,0.0
26,PROC,3,0.0
27,PROC,4,0.0
28,PROC,5,0.0
29,PROC,6,100.0
30,MAPHEX,1,0.0
31,MAPHEX,2,0.0
32,MAPHEX,3,0.4444444444444444
33,MAPHEX,4,0.0
34,MAPHEX,5,99.55555555555556
35,MAPHEX,6,0.0
